clave_inegi,entidad,anio,mortalidad
23,Quintana Roo,2007,4.627754374594945
23,Quintana Roo,2008,5.083441348023332
23,Quintana Roo,2009,5.599886584575502
23,Quintana Roo,2010,6.430249513933895
23,Quintana Roo,2011,5.751782242384964
23,Quintana Roo,2012,6.926441996111471
23,Quintana Roo,2013,7.696046662346079
23,Quintana Roo,2014,8.121354504212572
23,Quintana Roo,2015,9.680816591056384
23,Quintana Roo,2016,10.987119248217757
23,Quintana Roo,2017,9.954228775113416
23,Quintana Roo,2018,9.954228775113416
24,San Luis Potosí,2001,12.384559300064808
24,San Luis Potosí,2002,13.194669475048606
24,San Luis Potosí,2003,15.02754374594945
24,San Luis Potosí,2004,15.06804925469864
24,San Luis Potosí,2005,16.374351911860014
24,San Luis Potosí,2006,17.204714841218404
24,San Luis Potosí,2007,18.369248217757615
24,San Luis Potosí,2008,20.414776409591706
24,San Luis Potosí,2009,19.10847375243033
24,San Luis Potosí,2010,20.55654569021387
24,San Luis Potosí,2011,20.4350291639663
24,San Luis Potosí,2012,21.14387556707712
24,San Luis Potosí,2013,23.19953013609851
24,San Luis Potosí,2014,24.698233959818534
24,San Luis Potosí,2015,23.776733635774466
24,San Luis Potosí,2016,25.43745949449125
24,San Luis Potosí,2017,28.627268308489956
24,San Luis Potosí,2018,29.36649384316267
25,Sinaloa,2001,14.004779650032404
25,Sinaloa,2002,15.361714193130267
25,Sinaloa,2003,16.688269604666235
25,Sinaloa,2004,16.971808165910563
25,Sinaloa,2005,17.052819183408943
25,Sinaloa,2006,18.07558327932599
25,Sinaloa,2007,16.455362929358394
25,Sinaloa,2008,19.03758911211925
25,Sinaloa,2009,18.07558327932599
25,Sinaloa,2010,19.878078418664938
25,Sinaloa,2011,20.27300712896954
25,Sinaloa,2012,19.695803629293582
25,Sinaloa,2013,20.91096889176928
25,Sinaloa,2014,21.174254698639015
25,Sinaloa,2015,22.48055735580039
25,Sinaloa,2016,23.634964355152302
25,Sinaloa,2017,23.300793907971485
25,Sinaloa,2018,21.741331821127673
26,Sonora,2001,14.075664290343486
26,Sonora,2002,14.480719377835385
26,Sonora,2003,16.222456254050552
26,Sonora,2004,16.728775113415423
26,Sonora,2005,17.093324692158134
26,Sonora,2006,17.27559948152949
26,Sonora,2007,18.136341542449774
26,Sonora,2008,19.321127673363577
26,Sonora,2009,19.655298120544394
26,Sonora,2010,21.14387556707712
26,Sonora,2011,20.809705119896307
26,Sonora,2012,20.769199611147116
26,Sonora,2013,22.00461762799741
26,Sonora,2014,23.19953013609851
26,Sonora,2015,24.293178872326635
26,Sonora,2016,23.786860012961764
26,Sonora,2017,23.371678548282567
26,Sonora,2018,21.488172391445236
27,Tabasco,2001,11.01749837977965
27,Tabasco,2002,11.827608554763447
27,Tabasco,2003,13.02252106286455
27,Tabasco,2004,14.54147764095917
27,Tabasco,2005,15.159186649384317
27,Tabasco,2006,15.219944912508101
27,Tabasco,2007,15.675631885936488
27,Tabasco,2008,17.842676604018145
27,Tabasco,2009,19.017336357744654
27,Tabasco,2010,21.91348023331173
27,Tabasco,2011,21.164128321451717
27,Tabasco,2012,22.75396953985742
27,Tabasco,2013,24.607096565132856
27,Tabasco,2014,26.87540505508749
27,Tabasco,2015,28.029812054439404
27,Tabasco,2016,31.16898898250162
27,Tabasco,2017,32.17150032404407
27,Tabasco,2018,32.191753078418664
28,Tamaulipas,2001,19.402138690861957
28,Tamaulipas,2002,21.2350129617628
28,Tamaulipas,2003,22.55144199611147
28,Tamaulipas,2004,23.371678548282567
28,Tamaulipas,2005,24.647602073882048
28,Tamaulipas,2006,24.95139338950097
28,Tamaulipas,2007,25.99441023979261
28,Tamaulipas,2008,27.19944912508101
28,Tamaulipas,2009,28.303224238496437
28,Tamaulipas,2010,30.966461438755672
28,Tamaulipas,2011,30.338626053143226
28,Tamaulipas,2012,30.672796500324043
28,Tamaulipas,2013,33.143632534024626
28,Tamaulipas,2014,35.47269928710305
28,Tamaulipas,2015,37.153677900194424
28,Tamaulipas,2016,37.609364873622816
28,Tamaulipas,2017,37.02203499675956
28,Tamaulipas,2018,35.14865521710953
29,Tlaxcala,2001,6.511260531432275
29,Tlaxcala,2002,7.047958522359041
29,Tlaxcala,2003,7.260612443292287
29,Tlaxcala,2004,7.908700583279326
29,Tlaxcala,2005,7.655541153596889
29,Tlaxcala,2006,8.607420609202851
29,Tlaxcala,2007,9.29601425793908
29,Tlaxcala,2008,10.460547634478289
29,Tlaxcala,2009,11.361795204147764
29,Tlaxcala,2010,11.260531432274789
29,Tlaxcala,2011,10.845349967595594
29,Tlaxcala,2012,12.354180168502916
29,Tlaxcala,2013,13.792125729099158
29,Tlaxcala,2014,14.025032404407
29,Tlaxcala,2015,13.518713545042125
29,Tlaxcala,2016,15.513609850939728
29,Tlaxcala,2017,15.918664938431627
29,Tlaxcala,2018,16.009802333117303
30,Veracruz,2001,43.35102073882048
30,Veracruz,2002,45.37629617627997
30,Veracruz,2003,49.95341866493843
30,Veracruz,2004,54.034348671419316
30,Veracruz,2005,58.28742709008425
30,Veracruz,2006,59.219053791315616
30,Veracruz,2007,63.81642903434867
30,Veracruz,2008,69.07201879455606
30,Veracruz,2009,74.75291639662994
30,Veracruz,2010,81.49708360337006
30,Veracruz,2011,81.29455605962411
30,Veracruz,2012,87.3703823720026
30,Veracruz,2013,90.75259235255994
30,Veracruz,2014,100.89922229423202
30,Veracruz,2015,106.86365845755023
30,Veracruz,2016,109.74967595593
30,Veracruz,2017,105.19280622164614
30,Veracruz,2018,106.09405379131562
31,Yucatán,2001,8.344134802333118
31,Yucatán,2002,10.065618924173688
31,Yucatán,2003,10.45042125729099
31,Yucatán,2004,10.642822423849644
31,Yucatán,2005,11.523817239144524
31,Yucatán,2006,11.412427090084252
31,Yucatán,2007,12.556707712248866
31,Yucatán,2008,12.86049902786779
31,Yucatán,2009,12.921257290991575
31,Yucatán,2010,14.338950097213221
31,Yucatán,2011,13.6199773169151
31,Yucatán,2012,14.197180816591056
31,Yucatán,2013,15.128807517822423
31,Yucatán,2014,16.283214517174336
31,Yucatán,2015,18.217352559948154
31,Yucatán,2016,18.14646791963707
31,Yucatán,2017,18.946451717433572
31,Yucatán,2018,17.366736876215164
32,Zacatecas,2001,7.2201069345430975
32,Zacatecas,2002,7.797310434219054
32,Zacatecas,2003,8.799821775761503
32,Zacatecas,2004,9.063107582631238
32,Zacatecas,2005,10.197261827608555
32,Zacatecas,2006,9.93397602073882
32,Zacatecas,2007,11.149141283214517
32,Zacatecas,2008,11.736471160077771
32,Zacatecas,2009,11.442806221646144
32,Zacatecas,2010,12.111147116007777
32,Zacatecas,2011,11.422553467271548
32,Zacatecas,2012,12.10102073882048
32,Zacatecas,2013,13.478208036292935
32,Zacatecas,2014,14.237686325340245
32,Zacatecas,2015,14.197180816591056
32,Zacatecas,2016,15.564241736876216
32,Zacatecas,2017,14.956659105638368
32,Zacatecas,2018,15.250324044069993
